Sales Channel,OrderDate,ShipDate,DeliveryDate,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Price,Unit Cost
In-Store,2018-06-03,2018-06-26,2018-07-05,8,29,305,23,7,0.08,6076.90,2734.61
Online,2018-06-03,2018-06-05,2018-06-10,13,35,303,14,7,0.20,5735.20,4186.70
Online,2018-06-03,2018-06-30,2018-07-10,19,46,217,7,3,0.10,3919.50,2077.34
Online,2018-06-03,2018-06-30,2018-07-05,17,42,362,46,1,0.05,6083.60,3832.67
Wholesale,2018-06-03,2018-06-14,2018-06-15,26,2,335,40,5,0.08,2566.10,1642.30
Distributor,2018-06-03,2018-06-07,2018-06-13,22,28,84,38,2,0.08,2278.00,1093.44
In-Store,2018-06-03,2018-06-14,2018-06-21,7,46,256,1,1,0.08,261.30,120.20
Online,2018-06-03,2018-06-28,2018-07-08,12,22,360,17,8,0.05,998.30,698.81
In-Store,2018-06-03,2018-06-13,2018-06-21,4,34,90,40,6,0.20,3497.40,1958.54
In-Store,2018-06-03,2018-06-18,2018-06-28,9,26,196,25,4,0.05,1132.30,486.89
In-Store,2018-06-03,2018-06-15,2018-06-17,7,26,40,2,7,0.05,2405.30,1587.50
Distributor,2018-06-03,2018-06-24,2018-07-03,24,24,367,3,8,0.05,5701.70,3249.97
Distributor,2018-06-04,2018-06-09,2018-06-16,25,18,249,34,1,0.20,2452.20,1446.80
In-Store,2018-06-04,2018-06-30,2018-07-04,11,21,6,11,3,0.05,3095.40,2012.01
Online,2018-06-04,2018-06-12,2018-06-14,15,14,212,8,4,0.40,3865.90,2164.90
Distributor,2018-06-04,2018-06-10,2018-06-15,23,3,37,11,8,0.10,2304.80,1382.88
Online,2018-06-04,2018-06-21,2018-06-24,17,13,38,35,3,0.05,3195.90,1470.11
Online,2018-06-04,2018-06-19,2018-06-26,18,49,294,33,7,0.05,6452.10,5161.68
Distributor,2018-06-05,2018-06-14,2018-06-17,24,4,105,16,3,0.30,2003.30,921.52
Distributor,2018-06-05,2018-06-28,2018-07-07,23,20,17,8,8,0.05,3638.10,1455.24
In-Store,2018-06-05,2018-06-14,2018-06-17,4,19,109,44,3,0.08,2278.00,1822.40
Online,2018-06-05,2018-06-25,2018-06-29,16,25,141,22,6,0.30,924.60,582.50
Online,2018-06-05,2018-06-21,2018-07-01,19,8,111,16,5,0.05,3926.20,3062.44
Distributor,2018-06-05,2018-06-12,2018-06-18,23,24,349,25,4,0.08,3825.70,2257.16
Wholesale,2018-06-05,2018-07-03,2018-07-08,27,13,360,4,3,0.05,2257.90,1377.32
Distributor,2018-06-06,2018-07-02,2018-07-08,24,32,148,33,8,0.08,1112.20,756.30
Online,2018-06-06,2018-06-22,2018-06-23,19,28,103,45,8,0.05,3557.70,1814.43
Online,2018-06-06,2018-06-09,2018-06-12,13,8,59,45,3,0.40,2371.80,1233.34
Online,2018-06-06,2018-07-01,2018-07-04,14,47,60,1,1,0.40,857.60,686.08
In-Store,2018-06-07,2018-06-14,2018-06-16,11,33,238,20,5,0.30,3892.70,2880.60
In-Store,2018-06-07,2018-06-13,2018-06-15,3,26,151,21,6,0.08,3477.30,1390.92
Online,2018-06-07,2018-06-11,2018-06-21,13,20,152,44,5,0.10,3738.60,2803.95
Online,2018-06-07,2018-06-10,2018-06-13,20,6,262,8,5,0.30,1072.00,589.60
In-Store,2018-06-07,2018-07-01,2018-07-02,5,40,120,46,7,0.05,2257.90,1761.16
Online,2018-06-07,2018-06-11,2018-06-13,18,23,233,46,3,0.10,1058.60,751.61
Online,2018-06-07,2018-06-15,2018-06-25,13,38,77,39,4,0.10,2492.40,1296.05
In-Store,2018-06-07,2018-06-13,2018-06-21,4,30,69,11,5,0.05,3852.50,2465.60
Distributor,2018-06-08,2018-06-19,2018-06-25,23,42,215,37,8,0.05,241.20,132.66
In-Store,2018-06-08,2018-06-11,2018-06-17,9,1,30,35,2,0.15,1051.90,494.39
Distributor,2018-06-08,2018-06-14,2018-06-19,25,11,169,10,5,0.30,227.80,107.07
Distributor,2018-06-08,2018-06-14,2018-06-15,24,4,333,14,5,0.05,1078.70,506.99
Wholesale,2018-06-08,2018-06-13,2018-06-20,28,6,96,10,8,0.15,1005.00,743.70
Distributor,2018-06-08,2018-07-03,2018-07-09,24,17,289,45,5,0.05,2485.70,1317.42
In-Store,2018-06-08,2018-06-30,2018-07-06,3,7,140,22,3,0.05,2659.90,2154.52
In-Store,2018-06-09,2018-06-28,2018-07-03,1,1,107,1,1,0.08,2224.40,1579.32
In-Store,2018-06-09,2018-06-12,2018-06-16,11,27,338,35,7,0.20,2472.30,1260.87
In-Store,2018-06-09,2018-06-23,2018-06-24,5,33,232,15,5,0.05,1011.70,799.24
Wholesale,2018-06-09,2018-07-05,2018-07-13,26,28,231,28,6,0.20,234.50,128.98
Online,2018-06-09,2018-06-14,2018-06-17,13,42,158,11,4,0.08,261.30,143.72
Online,2018-06-09,2018-06-27,2018-07-01,18,5,36,29,7,0.10,4006.60,2844.69
In-Store,2018-06-09,2018-07-05,2018-07-13,3,10,206,28,7,0.05,1333.30,866.65
In-Store,2018-06-10,2018-07-07,2018-07-09,10,34,255,15,5,0.05,167.50,90.45
Online,2018-06-10,2018-06-28,2018-07-02,14,23,336,27,7,0.08,3195.90,1821.66
Online,2018-06-10,2018-06-30,2018-07-05,20,18,307,15,1,0.05,1051.90,809.96
Online,2018-06-10,2018-06-30,2018-07-03,15,8,9,28,4,0.10,5447.10,3540.62
Online,2018-06-10,2018-06-16,2018-06-24,13,36,200,18,2,0.08,3182.50,1973.15
In-Store,2018-06-11,2018-06-29,2018-07-01,6,47,337,30,3,0.10,891.10,632.68
Online,2018-06-11,2018-06-16,2018-06-19,15,27,158,31,2,0.20,3892.70,2724.89
Online,2018-06-11,2018-06-13,2018-06-16,13,5,249,8,2,0.40,3953.00,3360.05
Online,2018-06-11,2018-06-28,2018-07-07,20,38,185,5,2,0.30,924.60,545.51
Online,2018-06-11,2018-07-07,2018-07-08,20,21,189,10,7,0.30,3430.40,1989.63
Distributor,2018-06-11,2018-06-28,2018-07-06,22,24,170,43,7,0.08,1152.40,622.30
Distributor,2018-06-11,2018-06-21,2018-06-24,21,25,130,37,4,0.10,1085.40,922.59
In-Store,2018-06-12,2018-06-16,2018-06-22,5,11,149,15,5,0.10,5031.70,4025.36
Distributor,2018-06-12,2018-06-28,2018-07-03,24,17,99,33,7,0.15,1092.10,436.84
Wholesale,2018-06-12,2018-06-25,2018-06-27,27,5,21,17,7,0.05,187.60,144.45
Online,2018-06-12,2018-07-09,2018-07-16,18,30,90,1,4,0.05,3993.20,2835.17
Online,2018-06-12,2018-06-15,2018-06-18,14,9,360,15,5,0.05,2472.30,1433.93
In-Store,2018-06-12,2018-07-05,2018-07-14,4,47,23,47,4,0.05,1206.00,844.20
Online,2018-06-12,2018-06-22,2018-06-29,20,5,144,40,5,0.05,1728.60,985.30
Wholesale,2018-06-12,2018-06-20,2018-06-29,28,23,134,23,7,0.08,1983.20,1447.74
Online,2018-06-12,2018-07-10,2018-07-14,20,14,180,11,2,0.20,5313.10,2656.55
Distributor,2018-06-12,2018-06-17,2018-06-25,20,44,58,23,5,0.08,871.00,566.15
Online,2018-06-13,2018-06-27,2018-07-01,12,38,175,43,2,0.10,2532.60,2051.41
Online,2018-06-13,2018-06-25,2018-06-26,14,14,95,1,4,0.08,5916.10,4673.72
Online,2018-06-13,2018-06-23,2018-07-01,13,34,231,31,1,0.08,2887.70,1443.85
In-Store,2018-06-13,2018-06-20,2018-06-22,1,13,199,11,7,0.10,1855.90,1447.60
In-Store,2018-06-13,2018-06-17,2018-06-19,2,5,58,39,5,0.10,207.70,135.01
In-Store,2018-06-13,2018-06-29,2018-07-06,2,2,345,3,3,0.05,1058.60,772.78
Online,2018-06-13,2018-07-03,2018-07-13,13,17,241,20,7,0.10,958.10,517.37
In-Store,2018-06-13,2018-07-08,2018-07-18,6,40,186,27,7,0.20,2659.90,1675.74
In-Store,2018-06-13,2018-07-05,2018-07-13,7,15,144,8,3,0.10,2217.70,1707.63
Online,2018-06-14,2018-06-17,2018-06-20,20,12,40,11,1,0.30,1715.20,857.60
In-Store,2018-06-14,2018-07-06,2018-07-09,6,25,288,32,7,0.15,3932.90,1691.15
In-Store,2018-06-14,2018-06-19,2018-06-20,2,13,169,40,2,0.05,2546.00,1909.50
Online,2018-06-14,2018-06-26,2018-07-01,15,18,277,21,1,0.08,837.50,603.00
Online,2018-06-14,2018-06-26,2018-07-05,16,3,219,12,3,0.15,1809.00,1302.48
Wholesale,2018-06-14,2018-06-29,2018-07-03,26,25,306,11,8,0.08,857.60,514.56
In-Store,2018-06-14,2018-06-30,2018-07-07,8,11,7,22,6,0.05,1748.70,1101.68
Wholesale,2018-06-14,2018-06-16,2018-06-17,28,44,78,4,1,0.08,1266.30,582.50
In-Store,2018-06-14,2018-06-16,2018-06-22,3,30,28,9,5,0.10,5058.50,3591.54
Distributor,2018-06-14,2018-06-28,2018-07-06,22,38,39,6,7,0.05,958.10,795.22
Online,2018-06-14,2018-07-10,2018-07-14,19,47,122,2,8,0.15,1802.30,756.97
In-Store,2018-06-15,2018-07-07,2018-07-16,4,17,48,32,4,0.08,6298.00,4534.56
Online,2018-06-15,2018-07-02,2018-07-06,18,28,1,30,1,0.10,2499.10,1824.34
In-Store,2018-06-15,2018-06-19,2018-06-23,8,5,198,23,3,0.10,871.00,705.51
In-Store,2018-06-15,2018-07-12,2018-07-18,1,32,242,5,1,0.05,750.40,360.19
Wholesale,2018-06-15,2018-06-23,2018-06-27,27,21,200,14,8,0.08,763.80,504.11
In-Store,2018-06-15,2018-06-26,2018-07-02,5,49,304,25,6,0.10,844.20,565.61
In-Store,2018-06-15,2018-07-05,2018-07-14,2,6,31,27,7,0.05,261.30,112.36
Online,2018-06-15,2018-07-06,2018-07-16,19,47,71,33,2,0.05,3999.90,2359.94
In-Store,2018-06-15,2018-06-25,2018-07-03,4,32,250,18,6,0.05,1112.20,811.91
In-Store,2018-06-15,2018-06-26,2018-07-04,10,18,167,2,2,0.08,2633.10,1843.17
Distributor,2018-06-15,2018-07-09,2018-07-13,22,8,132,4,6,0.20,1018.40,631.41
In-Store,2018-06-15,2018-06-27,2018-06-30,1,24,56,21,4,0.15,5219.30,3444.74
Distributor,2018-06-15,2018-07-13,2018-07-20,21,11,259,26,1,0.15,3999.90,2359.94
Online,2018-06-16,2018-06-27,2018-07-01,20,50,341,25,5,0.40,1721.90,1084.80
In-Store,2018-06-16,2018-07-05,2018-07-12,10,7,195,37,6,0.15,737.00,456.94
Online,2018-06-16,2018-07-07,2018-07-15,19,2,33,40,3,0.05,1219.40,695.06
In-Store,2018-06-16,2018-07-12,2018-07-17,2,18,279,41,8,0.05,891.10,712.88
In-Store,2018-06-16,2018-07-14,2018-07-18,7,28,148,9,1,0.15,978.20,743.43
In-Store,2018-06-16,2018-07-01,2018-07-10,11,47,170,17,1,0.15,3946.30,1657.45
In-Store,2018-06-16,2018-07-05,2018-07-06,3,27,181,38,2,0.40,1299.80,922.86
Online,2018-06-17,2018-07-14,2018-07-24,19,21,77,12,4,0.05,5815.60,2791.49
In-Store,2018-06-17,2018-07-08,2018-07-10,3,43,122,23,6,0.15,1092.10,655.26
Distributor,2018-06-17,2018-07-10,2018-07-17,24,42,36,18,6,0.15,1072.00,643.20
Online,2018-06-17,2018-07-08,2018-07-09,17,34,217,16,5,0.05,4020.00,2653.20
Online,2018-06-17,2018-07-10,2018-07-15,20,37,63,12,4,0.15,984.90,669.73
Distributor,2018-06-17,2018-07-02,2018-07-04,21,50,341,7,7,0.05,227.80,100.23
In-Store,2018-06-17,2018-06-23,2018-06-26,3,17,36,35,3,0.15,3993.20,3314.36
Online,2018-06-17,2018-06-29,2018-07-08,12,25,163,26,4,0.08,221.10,185.72
Online,2018-06-18,2018-07-04,2018-07-14,12,21,101,43,6,0.08,3356.70,2819.63
In-Store,2018-06-18,2018-07-09,2018-07-15,1,35,321,12,1,0.05,1701.80,1157.22
In-Store,2018-06-18,2018-07-08,2018-07-09,3,9,276,8,3,0.15,2566.10,2181.19
In-Store,2018-06-18,2018-06-22,2018-06-26,6,22,101,5,4,0.05,221.10,126.03
In-Store,2018-06-18,2018-06-30,2018-07-05,5,28,248,4,1,0.10,1782.20,980.21
Distributor,2018-06-18,2018-07-15,2018-07-16,24,41,95,35,8,0.05,2003.30,801.32
Distributor,2018-06-18,2018-07-09,2018-07-16,20,28,33,5,5,0.08,2385.20,1502.68
Online,2018-06-18,2018-07-11,2018-07-17,13,22,12,21,1,0.10,2231.10,1784.88
In-Store,2018-06-18,2018-07-02,2018-07-07,10,26,119,35,1,0.05,1005.00,412.05
Distributor,2018-06-18,2018-07-12,2018-07-19,23,12,290,40,7,0.05,2693.40,1939.25
Online,2018-06-18,2018-07-10,2018-07-11,17,31,110,36,4,0.08,1105.50,652.25
Online,2018-06-19,2018-07-10,2018-07-17,17,25,87,39,1,0.08,1909.50,1088.42
Distributor,2018-06-19,2018-06-21,2018-06-26,21,35,177,38,7,0.20,1118.90,850.36
In-Store,2018-06-19,2018-06-28,2018-07-03,11,45,94,8,7,0.20,1038.50,758.11
In-Store,2018-06-19,2018-06-28,2018-07-04,1,19,126,19,6,0.05,6324.80,4300.86
In-Store,2018-06-19,2018-06-27,2018-07-01,3,16,17,9,7,0.20,1005.00,502.50
In-Store,2018-06-19,2018-07-14,2018-07-17,3,15,178,2,5,0.08,1293.10,659.48
In-Store,2018-06-19,2018-07-16,2018-07-26,1,8,76,36,6,0.40,844.20,540.29
In-Store,2018-06-19,2018-07-07,2018-07-14,6,27,318,1,4,0.05,247.90,195.84
Distributor,2018-06-19,2018-06-26,2018-06-28,21,12,217,21,7,0.30,174.20,139.36
In-Store,2018-06-20,2018-07-11,2018-07-17,2,30,278,12,6,0.10,1025.10,707.32
Distributor,2018-06-20,2018-07-01,2018-07-06,21,19,341,23,3,0.15,3068.60,2301.45
Online,2018-06-20,2018-07-09,2018-07-11,16,44,122,3,2,0.08,241.20,115.78
In-Store,2018-06-20,2018-07-12,2018-07-17,11,24,200,47,1,0.20,174.20,139.36
In-Store,2018-06-20,2018-07-03,2018-07-13,3,10,30,37,2,0.20,2505.80,1804.18
Distributor,2018-06-20,2018-07-17,2018-07-20,25,35,233,31,7,0.15,2599.60,1637.75
Online,2018-06-20,2018-06-24,2018-06-28,18,38,151,28,6,0.15,2278.00,1503.48
Distributor,2018-06-21,2018-07-13,2018-07-21,24,31,353,25,2,0.08,1092.10,589.73
Wholesale,2018-06-21,2018-07-04,2018-07-07,25,40,43,7,5,0.20,1139.00,933.98
In-Store,2018-06-21,2018-07-02,2018-07-10,4,9,339,47,2,0.15,1675.00,1072.00
Wholesale,2018-06-21,2018-06-29,2018-07-02,26,41,228,26,2,0.05,1011.70,687.96
Wholesale,2018-06-21,2018-07-16,2018-07-21,27,11,128,46,7,0.10,938.00,412.72
Wholesale,2018-06-21,2018-07-16,2018-07-26,28,48,55,2,8,0.05,2566.10,1052.10
Distributor,2018-06-22,2018-07-16,2018-07-24,24,4,177,33,5,0.10,871.00,374.53
In-Store,2018-06-22,2018-07-17,2018-07-21,2,4,81,18,1,0.10,2485.70,1789.70
In-Store,2018-06-22,2018-07-13,2018-07-17,1,40,365,41,4,0.40,2345.00,1922.90
Online,2018-06-22,2018-07-12,2018-07-21,15,19,48,27,2,0.05,1118.90,749.66
In-Store,2018-06-22,2018-06-25,2018-07-02,11,24,11,42,4,0.10,1996.60,1397.62
In-Store,2018-06-22,2018-07-10,2018-07-20,11,6,127,39,1,0.08,710.20,390.61
Online,2018-06-22,2018-07-15,2018-07-22,13,6,201,35,4,0.05,3979.80,1790.91
In-Store,2018-06-22,2018-07-11,2018-07-13,8,9,339,28,3,0.08,1025.10,440.79
In-Store,2018-06-22,2018-07-04,2018-07-09,3,3,198,9,7,0.20,2519.20,1309.98
Online,2018-06-22,2018-07-18,2018-07-25,15,36,150,2,7,0.05,5031.70,3471.87
Online,2018-06-23,2018-07-01,2018-07-04,19,27,311,46,1,0.10,1829.10,768.22
In-Store,2018-06-23,2018-07-16,2018-07-22,5,29,304,25,5,0.08,1072.00,900.48
In-Store,2018-06-23,2018-07-08,2018-07-14,5,11,247,32,1,0.20,2539.30,1828.30
In-Store,2018-06-23,2018-07-11,2018-07-18,11,24,265,41,1,0.08,3899.40,2027.69
In-Store,2018-06-24,2018-06-27,2018-06-30,5,38,366,37,3,0.20,5045.10,3380.22
Online,2018-06-24,2018-07-14,2018-07-15,19,38,125,14,8,0.05,1005.00,522.60
Wholesale,2018-06-24,2018-07-10,2018-07-17,27,20,182,47,7,0.10,2438.80,1219.40
In-Store,2018-06-25,2018-07-10,2018-07-13,11,46,152,24,4,0.30,3336.60,2035.33
In-Store,2018-06-25,2018-07-14,2018-07-15,1,38,256,25,4,0.15,1098.80,857.06
Online,2018-06-25,2018-07-18,2018-07-21,19,5,66,20,2,0.08,1902.80,970.43
Online,2018-06-25,2018-07-05,2018-07-13,17,32,156,33,4,0.08,3477.30,2190.70
Wholesale,2018-06-26,2018-07-13,2018-07-17,26,36,200,10,1,0.10,2599.60,1481.77
Online,2018-06-26,2018-07-20,2018-07-22,12,1,299,7,1,0.08,1078.70,506.99
Online,2018-06-26,2018-07-15,2018-07-19,17,22,199,31,5,0.20,1045.20,533.05
Online,2018-06-26,2018-07-19,2018-07-22,15,21,157,1,2,0.05,1125.60,787.92
In-Store,2018-06-26,2018-07-16,2018-07-18,1,14,187,22,8,0.05,1105.50,762.80
Online,2018-06-26,2018-07-24,2018-08-03,18,50,84,46,1,0.10,2606.30,1668.03
Distributor,2018-06-26,2018-07-01,2018-07-11,22,41,228,25,8,0.08,227.80,95.68
Distributor,2018-06-26,2018-07-20,2018-07-24,22,35,180,29,7,0.05,167.50,123.95
In-Store,2018-06-26,2018-07-08,2018-07-11,7,21,250,16,3,0.10,1145.70,538.48
In-Store,2018-06-26,2018-07-12,2018-07-13,4,37,326,36,7,0.08,2599.60,2157.67
Distributor,2018-06-27,2018-07-09,2018-07-17,24,14,136,18,1,0.05,3939.60,1969.80
In-Store,2018-06-27,2018-07-18,2018-07-21,2,18,112,37,8,0.08,2881.00,1584.55
In-Store,2018-06-27,2018-07-04,2018-07-06,3,22,108,43,2,0.05,3852.50,2003.30
Wholesale,2018-06-27,2018-07-04,2018-07-10,27,48,56,42,2,0.05,1139.00,546.72
Distributor,2018-06-27,2018-07-06,2018-07-09,23,7,195,25,4,0.05,2519.20,2040.55
In-Store,2018-06-27,2018-07-18,2018-07-23,9,33,82,42,1,0.15,1192.60,703.63
In-Store,2018-06-27,2018-06-29,2018-07-09,5,18,215,14,5,0.08,2412.00,1013.04
In-Store,2018-06-27,2018-07-18,2018-07-22,9,6,134,47,7,0.05,2479.00,2057.57
Wholesale,2018-06-27,2018-07-13,2018-07-14,26,10,322,35,7,0.10,1956.40,1330.35
Online,2018-06-27,2018-07-05,2018-07-14,15,4,176,42,5,0.30,1078.70,722.73
In-Store,2018-06-27,2018-07-12,2018-07-22,6,22,70,26,1,0.08,1212.70,945.91
Online,2018-06-27,2018-07-06,2018-07-13,18,48,252,29,5,0.08,978.20,821.69
In-Store,2018-06-27,2018-07-14,2018-07-18,4,28,275,45,3,0.05,174.20,120.20
Online,2018-06-27,2018-07-08,2018-07-12,19,25,226,17,3,0.15,1125.60,630.34
Online,2018-06-28,2018-07-10,2018-07-11,20,49,288,6,6,0.15,1065.30,468.73
Online,2018-06-28,2018-07-16,2018-07-22,15,11,60,12,5,0.08,3892.70,2724.89
Online,2018-06-28,2018-07-18,2018-07-26,17,19,297,9,2,0.30,207.70,120.47
In-Store,2018-06-28,2018-07-13,2018-07-18,3,20,75,23,7,0.30,1185.90,948.72
In-Store,2018-06-28,2018-07-10,2018-07-17,10,15,352,18,2,0.15,2586.20,1629.31
In-Store,2018-06-28,2018-07-08,2018-07-13,8,26,25,30,4,0.30,2579.50,1960.42
Online,2018-06-28,2018-07-21,2018-07-27,16,7,23,36,8,0.08,6378.40,2806.50
Distributor,2018-06-28,2018-07-03,2018-07-11,24,26,292,31,7,0.20,3008.30,2226.14
In-Store,2018-06-28,2018-07-25,2018-08-01,11,49,140,20,3,0.08,1755.40,930.36
Online,2018-06-28,2018-07-09,2018-07-10,13,28,171,14,8,0.08,1139.00,740.35
In-Store,2018-06-28,2018-07-13,2018-07-17,11,46,44,38,5,0.08,6157.30,4556.40
Online,2018-06-28,2018-07-25,2018-08-03,18,33,43,40,7,0.10,2231.10,1093.24
In-Store,2018-06-28,2018-07-15,2018-07-18,11,23,64,8,7,0.10,2479.00,1859.25
Distributor,2018-06-29,2018-07-06,2018-07-15,21,35,18,10,4,0.05,6391.80,4793.85
Wholesale,2018-06-29,2018-07-19,2018-07-20,27,4,263,39,2,0.05,1139.00,660.62
Online,2018-06-29,2018-07-01,2018-07-08,20,38,196,36,3,0.10,2586.20,1681.03
In-Store,2018-06-29,2018-07-04,2018-07-08,1,36,206,35,4,0.05,3899.40,1871.71
In-Store,2018-06-29,2018-07-24,2018-07-29,8,25,80,43,8,0.05,951.40,599.38
In-Store,2018-06-30,2018-07-20,2018-07-24,4,8,172,38,1,0.05,5607.90,3476.90
In-Store,2018-06-30,2018-07-04,2018-07-11,6,12,274,37,2,0.08,1165.80,827.72
Online,2018-06-30,2018-07-27,2018-08-06,16,17,277,44,2,0.05,1949.70,1520.77
Distributor,2018-06-30,2018-07-11,2018-07-16,21,40,147,34,8,0.10,3685.00,2690.05
Distributor,2018-06-30,2018-07-17,2018-07-26,20,3,332,17,2,0.40,2633.10,1816.84
Online,2018-06-30,2018-07-11,2018-07-13,19,26,274,23,1,0.08,1072.00,460.96
In-Store,2018-06-30,2018-07-04,2018-07-05,1,38,33,8,1,0.08,3537.60,1910.30
In-Store,2018-06-30,2018-07-21,2018-07-24,9,41,233,13,8,0.20,1092.10,622.50
In-Store,2018-06-30,2018-07-20,2018-07-22,12,17,262,5,4,0.05,1748.70,1136.66
Online,2018-06-30,2018-07-24,2018-07-29,18,49,6,9,8,0.08,891.10,739.61
In-Store,2018-06-30,2018-07-21,2018-07-28,2,41,159,23,5,0.05,3082.00,1510.18
In-Store,2018-06-30,2018-07-17,2018-07-21,9,34,148,15,5,0.08,1125.60,776.66
In-Store,2018-06-30,2018-07-13,2018-07-18,7,46,102,22,6,0.08,1252.90,651.51
Wholesale,2018-07-01,2018-07-04,2018-07-09,28,44,362,45,1,0.08,837.50,527.63
Wholesale,2018-07-01,2018-07-29,2018-08-08,25,21,295,40,1,0.08,1031.80,773.85
Online,2018-07-01,2018-07-06,2018-07-09,14,7,256,28,4,0.15,2385.20,1454.97
In-Store,2018-07-01,2018-07-16,2018-07-18,1,48,154,30,2,0.05,1802.30,1153.47
Wholesale,2018-07-01,2018-07-19,2018-07-22,26,40,270,27,5,0.05,1018.40,753.62
Online,2018-07-01,2018-07-07,2018-07-12,13,35,102,40,7,0.40,3946.30,1815.30
In-Store,2018-07-01,2018-07-20,2018-07-21,9,21,131,15,7,0.20,3953.00,2095.09
In-Store,2018-07-02,2018-07-16,2018-07-22,11,1,160,33,6,0.08,5098.70,3416.13
Online,2018-07-02,2018-07-10,2018-07-15,15,9,347,5,8,0.08,3758.70,1954.52
Distributor,2018-07-02,2018-07-07,2018-07-11,24,9,45,18,7,0.15,911.20,610.50
Distributor,2018-07-02,2018-07-04,2018-07-06,21,26,238,22,3,0.40,904.50,379.89
Online,2018-07-02,2018-07-08,2018-07-18,18,21,128,5,3,0.05,911.20,410.04
Online,2018-07-02,2018-07-08,2018-07-11,19,6,39,21,5,0.30,227.80,134.40
In-Store,2018-07-02,2018-07-21,2018-07-27,3,14,69,40,4,0.08,254.60,117.12
Wholesale,2018-07-02,2018-07-20,2018-07-21,27,33,29,35,3,0.08,683.40,444.21
In-Store,2018-07-03,2018-07-15,2018-07-20,4,43,159,20,7,0.05,3919.50,2234.12
Wholesale,2018-07-03,2018-07-24,2018-07-25,26,25,353,12,8,0.05,1092.10,786.31
In-Store,2018-07-04,2018-07-24,2018-08-03,4,10,199,20,4,0.05,924.60,536.27
Online,2018-07-04,2018-07-31,2018-08-06,17,45,182,22,8,0.05,1018.40,794.35
In-Store,2018-07-04,2018-07-25,2018-07-28,1,19,358,13,7,0.20,1788.90,1305.90
Distributor,2018-07-04,2018-08-01,2018-08-08,23,17,80,47,2,0.30,944.70,538.48
Wholesale,2018-07-04,2018-07-30,2018-07-31,25,39,140,29,3,0.10,3959.70,2573.81
In-Store,2018-07-04,2018-07-19,2018-07-25,6,11,146,41,5,0.05,167.50,70.35
